client_id;nom;prenom;mail;tel;;INSERT INTO t_client (client_id, nom, prenom, mail, tel)
45;Mercier;Tom;tom.mercier@example.ch;+41 79 702 38 10;;"VALUE ('45','Mercier','Tom','tom.mercier@example.ch', '+41 79 702 38 10');"
46;Martin;Mia;mia.martin@example.ch;+41 79 334 18 14;;"VALUE ('46','Martin','Mia','mia.martin@example.ch', '+41 79 334 18 14');"
47;Morel;Nina;nina.morel@example.ch;+41 79 626 40 45;;"VALUE ('47','Morel','Nina','nina.morel@example.ch', '+41 79 626 40 45');"
48;Aubert;Gabriel;gabriel.aubert@example.ch;+41 79 652 26 83;;"VALUE ('48','Aubert','Gabriel','gabriel.aubert@example.ch', '+41 79 652 26 83');"
49;Perrin;Camille;camille.perrin@example.ch;+41 79 348 70 62;;"VALUE ('49','Perrin','Camille','camille.perrin@example.ch', '+41 79 348 70 62');"
50;Favre;Chloé;chloé.favre@example.ch;+41 79 199 94 65;;"VALUE ('50','Favre','Chloé','chloé.favre@example.ch', '+41 79 199 94 65');"
51;Berger;Jules;jules.berger@example.ch;+41 79 520 69 16;;"VALUE ('51','Berger','Jules','jules.berger@example.ch', '+41 79 520 69 16');"
52;Martin;Liam;liam.martin@example.ch;+41 79 512 53 23;;"VALUE ('52','Martin','Liam','liam.martin@example.ch', '+41 79 512 53 23');"
53;Aubert;Ethan;ethan.aubert@example.ch;+41 79 294 78 67;;"VALUE ('53','Aubert','Ethan','ethan.aubert@example.ch', '+41 79 294 78 67');"
54;Berger;Emma;emma.berger@example.ch;+41 79 287 45 69;;"VALUE ('54','Berger','Emma','emma.berger@example.ch', '+41 79 287 45 69');"
55;Morel;Ethan;ethan.morel@example.ch;+41 79 553 80 22;;"VALUE ('55','Morel','Ethan','ethan.morel@example.ch', '+41 79 553 80 22');"
56;Meyer;Noah;noah.meyer@example.ch;+41 79 956 11 21;;"VALUE ('56','Meyer','Noah','noah.meyer@example.ch', '+41 79 956 11 21');"
57;Dubois;Ethan;ethan.dubois@example.ch;+41 79 516 72 71;;"VALUE ('57','Dubois','Ethan','ethan.dubois@example.ch', '+41 79 516 72 71');"
58;Rey;Chloé;chloé.rey@example.ch;+41 79 160 31 58;;"VALUE ('58','Rey','Chloé','chloé.rey@example.ch', '+41 79 160 31 58');"
59;Rey;Léa;léa.rey@example.ch;+41 79 371 68 46;;"VALUE ('59','Rey','Léa','léa.rey@example.ch', '+41 79 371 68 46');"
60;Meyer;Elya;elya.meyer@example.ch;+41 79 777 72 29;;"VALUE ('60','Meyer','Elya','elya.meyer@example.ch', '+41 79 777 72 29');"
61;Girard;Chloé;chloé.girard@example.ch;+41 79 322 17 84;;"VALUE ('61','Girard','Chloé','chloé.girard@example.ch', '+41 79 322 17 84');"
62;Martin;Tom;tom.martin@example.ch;+41 79 865 50 17;;"VALUE ('62','Martin','Tom','tom.martin@example.ch', '+41 79 865 50 17');"
63;Fischer;Noah;noah.fischer@example.ch;+41 79 588 74 77;;"VALUE ('63','Fischer','Noah','noah.fischer@example.ch', '+41 79 588 74 77');"
64;Martin;Leo;leo.martin@example.ch;+41 79 620 20 33;;"VALUE ('64','Martin','Leo','leo.martin@example.ch', '+41 79 620 20 33');"
65;Berset;Mia;mia.berset@example.ch;+41 79 169 96 40;;"VALUE ('65','Berset','Mia','mia.berset@example.ch', '+41 79 169 96 40');"
66;Favre;Léna;léna.favre@example.ch;+41 79 683 41 84;;"VALUE ('66','Favre','Léna','léna.favre@example.ch', '+41 79 683 41 84');"
67;Martin;Lina;lina.martin@example.ch;+41 79 734 20 63;;"VALUE ('67','Martin','Lina','lina.martin@example.ch', '+41 79 734 20 63');"
68;Fischer;Camille;camille.fischer@example.ch;+41 79 635 50 43;;"VALUE ('68','Fischer','Camille','camille.fischer@example.ch', '+41 79 635 50 43');"
69;Lambert;Chloé;chloé.lambert@example.ch;+41 79 344 43 60;;"VALUE ('69','Lambert','Chloé','chloé.lambert@example.ch', '+41 79 344 43 60');"
70;Girard;Emma;emma.girard@example.ch;+41 79 568 50 19;;"VALUE ('70','Girard','Emma','emma.girard@example.ch', '+41 79 568 50 19');"
71;Richard;Léa;léa.richard@example.ch;+41 79 736 82 22;;"VALUE ('71','Richard','Léa','léa.richard@example.ch', '+41 79 736 82 22');"
72;Meyer;Mia;mia.meyer@example.ch;+41 79 318 74 43;;"VALUE ('72','Meyer','Mia','mia.meyer@example.ch', '+41 79 318 74 43');"
73;Favrod;Emma;emma.favrod@example.ch;+41 79 170 41 57;;"VALUE ('73','Favrod','Emma','emma.favrod@example.ch', '+41 79 170 41 57');"
74;Dubois;Zoé;zoé.dubois@example.ch;+41 79 548 79 48;;"VALUE ('74','Dubois','Zoé','zoé.dubois@example.ch', '+41 79 548 79 48');"
75;Gonzalez;Lina;lina.gonzalez@example.ch;+41 79 108 95 80;;"VALUE ('75','Gonzalez','Lina','lina.gonzalez@example.ch', '+41 79 108 95 80');"
76;Favre;Zoé;zoé.favre@example.ch;+41 79 999 27 43;;"VALUE ('76','Favre','Zoé','zoé.favre@example.ch', '+41 79 999 27 43');"
77;Favre;Liam;liam.favre@example.ch;+41 79 860 80 29;;"VALUE ('77','Favre','Liam','liam.favre@example.ch', '+41 79 860 80 29');"
78;Girard;Luca;luca.girard@example.ch;+41 79 719 36 53;;"VALUE ('78','Girard','Luca','luca.girard@example.ch', '+41 79 719 36 53');"
79;Schmid;Chloé;chloé.schmid@example.ch;+41 79 617 72 42;;"VALUE ('79','Schmid','Chloé','chloé.schmid@example.ch', '+41 79 617 72 42');"
80;Morel;Noah;noah.morel@example.ch;+41 79 749 64 45;;"VALUE ('80','Morel','Noah','noah.morel@example.ch', '+41 79 749 64 45');"
81;Durand;Noah;noah.durand@example.ch;+41 79 441 26 91;;"VALUE ('81','Durand','Noah','noah.durand@example.ch', '+41 79 441 26 91');"
82;Dubois;Luca;luca.dubois@example.ch;+41 79 859 66 80;;"VALUE ('82','Dubois','Luca','luca.dubois@example.ch', '+41 79 859 66 80');"
83;Meyer;Elya;elya.meyer@example.ch;+41 79 109 24 19;;"VALUE ('83','Meyer','Elya','elya.meyer@example.ch', '+41 79 109 24 19');"
84;Meyer;Emma;emma.meyer@example.ch;+41 79 136 57 84;;"VALUE ('84','Meyer','Emma','emma.meyer@example.ch', '+41 79 136 57 84');"
85;Rossi;Tom;tom.rossi@example.ch;+41 79 540 26 15;;"VALUE ('85','Rossi','Tom','tom.rossi@example.ch', '+41 79 540 26 15');"
86;Favrod;Zoé;zoé.favrod@example.ch;+41 79 915 15 55;;"VALUE ('86','Favrod','Zoé','zoé.favrod@example.ch', '+41 79 915 15 55');"
87;Mercier;Chloé;chloé.mercier@example.ch;+41 79 782 23 55;;"VALUE ('87','Mercier','Chloé','chloé.mercier@example.ch', '+41 79 782 23 55');"
88;Berger;Tom;tom.berger@example.ch;+41 79 735 29 40;;"VALUE ('88','Berger','Tom','tom.berger@example.ch', '+41 79 735 29 40');"
89;Dubois;Leo;leo.dubois@example.ch;+41 79 522 13 32;;"VALUE ('89','Dubois','Leo','leo.dubois@example.ch', '+41 79 522 13 32');"
90;Berger;Nina;nina.berger@example.ch;+41 79 921 95 41;;"VALUE ('90','Berger','Nina','nina.berger@example.ch', '+41 79 921 95 41');"
91;Dubois;Luca;luca.dubois@example.ch;+41 79 906 99 23;;"VALUE ('91','Dubois','Luca','luca.dubois@example.ch', '+41 79 906 99 23');"
92;Martin;Léna;léna.martin@example.ch;+41 79 979 70 38;;"VALUE ('92','Martin','Léna','léna.martin@example.ch', '+41 79 979 70 38');"
93;Richard;Chloé;chloé.richard@example.ch;+41 79 458 49 39;;"VALUE ('93','Richard','Chloé','chloé.richard@example.ch', '+41 79 458 49 39');"
94;Durand;Ethan;ethan.durand@example.ch;+41 79 775 34 61;;"VALUE ('94','Durand','Ethan','ethan.durand@example.ch', '+41 79 775 34 61');"
95;Schmid;Nina;nina.schmid@example.ch;+41 79 985 18 45;;"VALUE ('95','Schmid','Nina','nina.schmid@example.ch', '+41 79 985 18 45');"
96;Gonzalez;Jules;jules.gonzalez@example.ch;+41 79 509 96 78;;"VALUE ('96','Gonzalez','Jules','jules.gonzalez@example.ch', '+41 79 509 96 78');"
97;Durand;Nina;nina.durand@example.ch;+41 79 218 43 32;;"VALUE ('97','Durand','Nina','nina.durand@example.ch', '+41 79 218 43 32');"
98;Schmid;Camille;camille.schmid@example.ch;+41 79 139 23 86;;"VALUE ('98','Schmid','Camille','camille.schmid@example.ch', '+41 79 139 23 86');"
99;Favrod;Elya;elya.favrod@example.ch;+41 79 846 50 65;;"VALUE ('99','Favrod','Elya','elya.favrod@example.ch', '+41 79 846 50 65');"
100;Gonzalez;Lina;lina.gonzalez@example.ch;+41 79 218 59 83;;"VALUE ('100','Gonzalez','Lina','lina.gonzalez@example.ch', '+41 79 218 59 83');"
101;Schmid;Chloé;chloé.schmid@example.ch;+41 79 145 65 10;;"VALUE ('101','Schmid','Chloé','chloé.schmid@example.ch', '+41 79 145 65 10');"
102;Meyer;Arthur;arthur.meyer@example.ch;+41 79 803 95 35;;"VALUE ('102','Meyer','Arthur','arthur.meyer@example.ch', '+41 79 803 95 35');"
103;Berger;Jules;jules.berger@example.ch;+41 79 171 95 52;;"VALUE ('103','Berger','Jules','jules.berger@example.ch', '+41 79 171 95 52');"
104;Lambert;Lina;lina.lambert@example.ch;+41 79 779 25 48;;"VALUE ('104','Lambert','Lina','lina.lambert@example.ch', '+41 79 779 25 48');"
105;Girard;Arthur;arthur.girard@example.ch;+41 79 782 62 51;;"VALUE ('105','Girard','Arthur','arthur.girard@example.ch', '+41 79 782 62 51');"
106;Girard;Léna;léna.girard@example.ch;+41 79 667 26 34;;"VALUE ('106','Girard','Léna','léna.girard@example.ch', '+41 79 667 26 34');"
107;Rey;Elya;elya.rey@example.ch;+41 79 793 32 88;;"VALUE ('107','Rey','Elya','elya.rey@example.ch', '+41 79 793 32 88');"
108;Girard;Camille;camille.girard@example.ch;+41 79 515 80 10;;"VALUE ('108','Girard','Camille','camille.girard@example.ch', '+41 79 515 80 10');"
109;Girard;Zoé;zoé.girard@example.ch;+41 79 315 65 84;;"VALUE ('109','Girard','Zoé','zoé.girard@example.ch', '+41 79 315 65 84');"
110;Lambert;Lina;lina.lambert@example.ch;+41 79 576 66 66;;"VALUE ('110','Lambert','Lina','lina.lambert@example.ch', '+41 79 576 66 66');"
111;Gonzalez;Chloé;chloé.gonzalez@example.ch;+41 79 584 31 94;;"VALUE ('111','Gonzalez','Chloé','chloé.gonzalez@example.ch', '+41 79 584 31 94');"
112;Girard;Mia;mia.girard@example.ch;+41 79 627 94 91;;"VALUE ('112','Girard','Mia','mia.girard@example.ch', '+41 79 627 94 91');"
113;Lambert;Lina;lina.lambert@example.ch;+41 79 195 40 96;;"VALUE ('113','Lambert','Lina','lina.lambert@example.ch', '+41 79 195 40 96');"
114;Mercier;Zoé;zoé.mercier@example.ch;+41 79 925 35 28;;"VALUE ('114','Mercier','Zoé','zoé.mercier@example.ch', '+41 79 925 35 28');"
115;Martin;Léa;léa.martin@example.ch;+41 79 350 70 88;;"VALUE ('115','Martin','Léa','léa.martin@example.ch', '+41 79 350 70 88');"
116;Richard;Mia;mia.richard@example.ch;+41 79 524 90 83;;"VALUE ('116','Richard','Mia','mia.richard@example.ch', '+41 79 524 90 83');"
117;Rey;Chloé;chloé.rey@example.ch;+41 79 606 61 41;;"VALUE ('117','Rey','Chloé','chloé.rey@example.ch', '+41 79 606 61 41');"
118;Durand;Emma;emma.durand@example.ch;+41 79 868 23 64;;"VALUE ('118','Durand','Emma','emma.durand@example.ch', '+41 79 868 23 64');"
119;Dubois;Ethan;ethan.dubois@example.ch;+41 79 923 99 76;;"VALUE ('119','Dubois','Ethan','ethan.dubois@example.ch', '+41 79 923 99 76');"
120;Martin;Sofia;sofia.martin@example.ch;+41 79 670 41 25;;"VALUE ('120','Martin','Sofia','sofia.martin@example.ch', '+41 79 670 41 25');"
121;Rossi;Sofia;sofia.rossi@example.ch;+41 79 920 69 95;;"VALUE ('121','Rossi','Sofia','sofia.rossi@example.ch', '+41 79 920 69 95');"
122;Meyer;Arthur;arthur.meyer@example.ch;+41 79 709 50 66;;"VALUE ('122','Meyer','Arthur','arthur.meyer@example.ch', '+41 79 709 50 66');"
123;Gonzalez;Lina;lina.gonzalez@example.ch;+41 79 536 80 67;;"VALUE ('123','Gonzalez','Lina','lina.gonzalez@example.ch', '+41 79 536 80 67');"
124;Perrin;Leo;leo.perrin@example.ch;+41 79 560 43 41;;"VALUE ('124','Perrin','Leo','leo.perrin@example.ch', '+41 79 560 43 41');"
125;Gonzalez;Luca;luca.gonzalez@example.ch;+41 79 596 90 40;;"VALUE ('125','Gonzalez','Luca','luca.gonzalez@example.ch', '+41 79 596 90 40');"
126;Richard;Luca;luca.richard@example.ch;+41 79 179 46 40;;"VALUE ('126','Richard','Luca','luca.richard@example.ch', '+41 79 179 46 40');"
127;Lambert;Luca;luca.lambert@example.ch;+41 79 427 79 20;;"VALUE ('127','Lambert','Luca','luca.lambert@example.ch', '+41 79 427 79 20');"
128;Rossi;Emma;emma.rossi@example.ch;+41 79 336 59 98;;"VALUE ('128','Rossi','Emma','emma.rossi@example.ch', '+41 79 336 59 98');"
129;Aubert;Emma;emma.aubert@example.ch;+41 79 165 63 62;;"VALUE ('129','Aubert','Emma','emma.aubert@example.ch', '+41 79 165 63 62');"
130;Meyer;Nina;nina.meyer@example.ch;+41 79 577 63 17;;"VALUE ('130','Meyer','Nina','nina.meyer@example.ch', '+41 79 577 63 17');"
131;Berger;Chloé;chloé.berger@example.ch;+41 79 498 84 99;;"VALUE ('131','Berger','Chloé','chloé.berger@example.ch', '+41 79 498 84 99');"
132;Fischer;Léa;léa.fischer@example.ch;+41 79 489 71 10;;"VALUE ('132','Fischer','Léa','léa.fischer@example.ch', '+41 79 489 71 10');"
133;Girard;Jules;jules.girard@example.ch;+41 79 871 59 63;;"VALUE ('133','Girard','Jules','jules.girard@example.ch', '+41 79 871 59 63');"
134;Meyer;Tom;tom.meyer@example.ch;+41 79 919 87 38;;"VALUE ('134','Meyer','Tom','tom.meyer@example.ch', '+41 79 919 87 38');"
135;Mercier;Gabriel;gabriel.mercier@example.ch;+41 79 379 65 72;;"VALUE ('135','Mercier','Gabriel','gabriel.mercier@example.ch', '+41 79 379 65 72');"
136;Rey;Léa;léa.rey@example.ch;+41 79 444 95 96;;"VALUE ('136','Rey','Léa','léa.rey@example.ch', '+41 79 444 95 96');"
137;Dubois;Léna;léna.dubois@example.ch;+41 79 960 69 26;;"VALUE ('137','Dubois','Léna','léna.dubois@example.ch', '+41 79 960 69 26');"
138;Meyer;Lina;lina.meyer@example.ch;+41 79 127 60 85;;"VALUE ('138','Meyer','Lina','lina.meyer@example.ch', '+41 79 127 60 85');"
139;Durand;Camille;camille.durand@example.ch;+41 79 185 92 64;;"VALUE ('139','Durand','Camille','camille.durand@example.ch', '+41 79 185 92 64');"
140;Richard;Emma;emma.richard@example.ch;+41 79 286 16 43;;"VALUE ('140','Richard','Emma','emma.richard@example.ch', '+41 79 286 16 43');"
141;Lambert;Léna;léna.lambert@example.ch;+41 79 316 68 51;;"VALUE ('141','Lambert','Léna','léna.lambert@example.ch', '+41 79 316 68 51');"
142;Rey;Nina;nina.rey@example.ch;+41 79 384 63 42;;"VALUE ('142','Rey','Nina','nina.rey@example.ch', '+41 79 384 63 42');"
143;Perrin;Mia;mia.perrin@example.ch;+41 79 119 79 16;;"VALUE ('143','Perrin','Mia','mia.perrin@example.ch', '+41 79 119 79 16');"
144;Mercier;Jules;jules.mercier@example.ch;+41 79 765 18 93;;"VALUE ('144','Mercier','Jules','jules.mercier@example.ch', '+41 79 765 18 93');"
145;Durand;Noah;noah.durand@example.ch;+41 79 353 35 12;;"VALUE ('145','Durand','Noah','noah.durand@example.ch', '+41 79 353 35 12');"
146;Rossi;Lina;lina.rossi@example.ch;+41 79 344 26 70;;"VALUE ('146','Rossi','Lina','lina.rossi@example.ch', '+41 79 344 26 70');"
147;Fischer;Liam;liam.fischer@example.ch;+41 79 323 69 99;;"VALUE ('147','Fischer','Liam','liam.fischer@example.ch', '+41 79 323 69 99');"
148;Favrod;Luca;luca.favrod@example.ch;+41 79 271 87 87;;"VALUE ('148','Favrod','Luca','luca.favrod@example.ch', '+41 79 271 87 87');"
149;Dubois;Liam;liam.dubois@example.ch;+41 79 418 23 84;;"VALUE ('149','Dubois','Liam','liam.dubois@example.ch', '+41 79 418 23 84');"
150;Girard;Léa;léa.girard@example.ch;+41 79 689 96 58;;"VALUE ('150','Girard','Léa','léa.girard@example.ch', '+41 79 689 96 58');"
151;Aubert;Léna;léna.aubert@example.ch;+41 79 177 85 98;;"VALUE ('151','Aubert','Léna','léna.aubert@example.ch', '+41 79 177 85 98');"
152;Favre;Ethan;ethan.favre@example.ch;+41 79 813 48 97;;"VALUE ('152','Favre','Ethan','ethan.favre@example.ch', '+41 79 813 48 97');"
153;Favre;Lina;lina.favre@example.ch;+41 79 915 82 15;;"VALUE ('153','Favre','Lina','lina.favre@example.ch', '+41 79 915 82 15');"
154;Meyer;Jules;jules.meyer@example.ch;+41 79 538 94 57;;"VALUE ('154','Meyer','Jules','jules.meyer@example.ch', '+41 79 538 94 57');"
155;Gonzalez;Mia;mia.gonzalez@example.ch;+41 79 763 53 11;;"VALUE ('155','Gonzalez','Mia','mia.gonzalez@example.ch', '+41 79 763 53 11');"
156;Perrin;Elya;elya.perrin@example.ch;+41 79 208 65 56;;"VALUE ('156','Perrin','Elya','elya.perrin@example.ch', '+41 79 208 65 56');"
157;Rossi;Sofia;sofia.rossi@example.ch;+41 79 545 32 76;;"VALUE ('157','Rossi','Sofia','sofia.rossi@example.ch', '+41 79 545 32 76');"
158;Berset;Luca;luca.berset@example.ch;+41 79 927 78 71;;"VALUE ('158','Berset','Luca','luca.berset@example.ch', '+41 79 927 78 71');"
159;Berger;Sofia;sofia.berger@example.ch;+41 79 945 85 44;;"VALUE ('159','Berger','Sofia','sofia.berger@example.ch', '+41 79 945 85 44');"
160;Mercier;Nina;nina.mercier@example.ch;+41 79 950 21 45;;"VALUE ('160','Mercier','Nina','nina.mercier@example.ch', '+41 79 950 21 45');"
161;Mercier;Sofia;sofia.mercier@example.ch;+41 79 868 69 82;;"VALUE ('161','Mercier','Sofia','sofia.mercier@example.ch', '+41 79 868 69 82');"
162;Rey;Lina;lina.rey@example.ch;+41 79 444 13 73;;"VALUE ('162','Rey','Lina','lina.rey@example.ch', '+41 79 444 13 73');"
163;Dubois;Nina;nina.dubois@example.ch;+41 79 599 37 55;;"VALUE ('163','Dubois','Nina','nina.dubois@example.ch', '+41 79 599 37 55');"
164;Lambert;Luca;luca.lambert@example.ch;+41 79 386 86 99;;"VALUE ('164','Lambert','Luca','luca.lambert@example.ch', '+41 79 386 86 99');"
165;Meyer;Luca;luca.meyer@example.ch;+41 79 110 76 34;;"VALUE ('165','Meyer','Luca','luca.meyer@example.ch', '+41 79 110 76 34');"
166;Mercier;Mia;mia.mercier@example.ch;+41 79 837 62 72;;"VALUE ('166','Mercier','Mia','mia.mercier@example.ch', '+41 79 837 62 72');"
167;Mercier;Tom;tom.mercier@example.ch;+41 79 807 70 92;;"VALUE ('167','Mercier','Tom','tom.mercier@example.ch', '+41 79 807 70 92');"
168;Richard;Gabriel;gabriel.richard@example.ch;+41 79 911 12 21;;"VALUE ('168','Richard','Gabriel','gabriel.richard@example.ch', '+41 79 911 12 21');"
169;Mercier;Zoé;zoé.mercier@example.ch;+41 79 514 98 41;;"VALUE ('169','Mercier','Zoé','zoé.mercier@example.ch', '+41 79 514 98 41');"
170;Fischer;Zoé;zoé.fischer@example.ch;+41 79 477 70 80;;"VALUE ('170','Fischer','Zoé','zoé.fischer@example.ch', '+41 79 477 70 80');"
171;Favrod;Arthur;arthur.favrod@example.ch;+41 79 535 80 52;;"VALUE ('171','Favrod','Arthur','arthur.favrod@example.ch', '+41 79 535 80 52');"
172;Richard;Jules;jules.richard@example.ch;+41 79 377 49 42;;"VALUE ('172','Richard','Jules','jules.richard@example.ch', '+41 79 377 49 42');"
173;Favre;Ethan;ethan.favre@example.ch;+41 79 838 34 50;;"VALUE ('173','Favre','Ethan','ethan.favre@example.ch', '+41 79 838 34 50');"
174;Meyer;Liam;liam.meyer@example.ch;+41 79 880 98 33;;"VALUE ('174','Meyer','Liam','liam.meyer@example.ch', '+41 79 880 98 33');"
175;Aubert;Chloé;chloé.aubert@example.ch;+41 79 856 71 45;;"VALUE ('175','Aubert','Chloé','chloé.aubert@example.ch', '+41 79 856 71 45');"
176;Gonzalez;Camille;camille.gonzalez@example.ch;+41 79 711 46 22;;"VALUE ('176','Gonzalez','Camille','camille.gonzalez@example.ch', '+41 79 711 46 22');"
